proyecto_id,campo,antes,despues,origen,nota
HCDN247464,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN247897,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN248541,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN248945,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN249585,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN249840,relevante,true,false,revision_experta,"fallo del autor 2-ago: encuentro de terceros sobre el eje (regla 3, precedente 239)"
HCDN256120,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN256896,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN274013,tema,mercosur_institucional,mercosur_simbolico,revision_experta,fallo del autor 2-ago (clase): conmemorativo del bloque -> mercosur_simbolico (adenda regla 7)
HCDN127925,tema,mercosur_institucional,mercosur_simbolico,revision_experta,"fallo del autor 2-ago: legislacion de simbolos del bloque (extension de regla 7: contenido liturgico, no gobernanza)"
HCDN150727,tema,mercosur_institucional,mercosur_simbolico,revision_experta,"fallo del autor 2-ago (clase): reproduccion del 447, legislacion de simbolos (regla 7 ext.)"
HCDN190036,tema,mercosur_institucional,mercosur_simbolico,revision_experta,"fallo del autor 2-ago (clase): legislacion de simbolos, variante del 447 (regla 7 ext.)"
